Season,No. in series,No. in season,Title_Text,Title_Link,Original air date,U.S. viewers (millions),Short Summary
Season 2,11,2,"""Enough is Enough""",https://greysanatomy.fandom.com/wiki/Enough_is_Enough,"October 2, 2005",17.57,"While the Chief is still a patient, Dr. Burke continues to run the surgical floor, in the midst of a car crash bringing in a family with a less than stable home life. Meanwhile, Addison is still roaming the halls of Seattle Grace, prompting Derek to bring in Richard's wife."
Season 2,12,3,"""Make Me Lose Control""",https://greysanatomy.fandom.com/wiki/Make_Me_Lose_Control,"October 9, 2005",18.12,Secrets are let loose as Meredith's mother is admitted to Seattle Grace and Cristina's pregnancy becomes public when she collapses in the OR.
Season 2,13,4,"""Deny, Deny, Deny""","https://greysanatomy.fandom.com/wiki/Deny,_Deny,_Deny","October 16, 2005",18.28,"Cristina struggles to stay in bed when she could be performing surgeries. Alex discovers that he needs to re-take a test to stay at SGH, Derek must choose between Addison or Meredith and Meredith's mother continues to bother the staff of Seattle Grace."
Season 2,14,5,"""Bring the Pain""",https://greysanatomy.fandom.com/wiki/Bring_the_Pain,"October 23, 2005",18.0,"Cristina tells a pornographic story. Burke asks Cristina if they're in a relationship. Meredith decides she is out of Derek's life. Derek and Meredith search for a shaman. When Alex chokes, George performs open heart surgery in an elevator, and Izzie has a patient who has had a heart attack on the same day for the past seven years."
Season 2,15,6,"""Into You Like a Train""",https://greysanatomy.fandom.com/wiki/Into_You_Like_a_Train,"October 30, 2005",16.67,"A train crash brings in many patients to Seattle Grace, including Meredith, who is too drunk to work; while the rest of the interns face their own professional crashes as Cristina searches the entire hospital in search of a foot for the Chief; Izzie is unsure how to react around Addison; and Meredith, George, Bailey, Derek, and Burke treat two strangers impaled on a pole. All the while, Meredith awaits Derek's decision."
Season 2,16,7,"""Something to Talk About""",https://greysanatomy.fandom.com/wiki/Something_to_Talk_About,"November 6, 2005",18.13,"The hospital staff invade the privacy of a man with male hysterical pregnancy and Meredith is the only person who sympathizes with him, while Alex reveals his own privacy to a patient with a sheltered life."
Season 2,17,8,"""Let It Be""",https://greysanatomy.fandom.com/wiki/Let_It_Be,"November 13, 2005",19.74,"Derek and Addison's personal and professional lives collide as friends visit from Manhattan for more than just a visit as they want radical pre-emptive surgery to prevent cancer, while Cristina and Burke attempt a ""normal"" date, with surgical consequences and George is left puzzled about a man who fell five stories."
Season 2,18,9,"""Thanks for the Memories""",https://greysanatomy.fandom.com/wiki/Thanks_for_the_Memories,"November 20, 2005",20.33,"None of the doctors can resist cutting as Izzie tries embrace the season by making a perfect thanksgiving dinner but doesn't know how, however Burke saves the day and helps her, while Cristina, Meredith, and Alex hide at work instead of helping Izzie; and George has to embrace his own O'Malley tradition by shooting a turkey."
Season 2,19,10,"""Much too Much""",https://greysanatomy.fandom.com/wiki/Much_too_Much,"November 27, 2005",19.59,"It's a high profile day for Seattle Grace, high profile names become staff and high profile cases arrive, specifically the arrival of Dr. Addison Forbes Montgomery-Shepherd and the mother of quintuplets, in which three of the five are surgical cases. Meanwhile, the rest of the interns face their own low profile dilemmas, as Meredith's one night stand shows up at the hospital more than pleased to see her, Cristina gets keyed and Alex makes a major mistake, both professionally and romantically."
Season 2,20,11,"""Owner of a Lonely Heart""",https://greysanatomy.fandom.com/wiki/Owner_of_a_Lonely_Heart,"December 4, 2005",20.59,"A prisoner swallows razor blades to get out of solitary confinement, annoying Cristina in the process. While watching over the quintuplets, Addison teaches a lesson to Izzie using an old technique that Richard taught her long ago."
Season 2,21,12,"""Grandma Got Run Over By a Reindeer""",https://greysanatomy.fandom.com/wiki/Grandma_Got_Run_Over_By_a_Reindeer,"December 11, 2005",15.7,"Tis the season to be jolly, as Burke and Cristina's religious differences are highlighted when they treat a boy who is refusing a heart transplant, while Derek has little religious problems with his patients of mixed Jewish and Christian family beginning for Chrismukkah while he feels less than festive, while Alex has problems with his own faith in himself as the rest of the interns try to help him study for his exam."
Season 2,22,13,"""Begin the Begin""",https://greysanatomy.fandom.com/wiki/Begin_the_Begin,"January 15, 2006",18.97,"The Chief enforces the 80 hour work limit with an iron fist so Meredith has free-time, and so does Cristina, but she chooses to go to Twin Falls, Idaho with Bailey for a heart retrieval while the Chief asks Derek for a favor regarding Ellis Grey. George has a teenager who is actually different while Alex treats a man who has a bezoar and Izzie works on Denny Duquette."
Season 2,23,14,"""Tell Me Sweet Little Lies""",https://greysanatomy.fandom.com/wiki/Tell_Me_Sweet_Little_Lies,"January 22, 2006",21.04,"George is stuck with an elderly lady who refuses to leave, or even refer to him as Dr. O'Malley. While Alex has to wrestle with a Japanese competitive eater to stay in the hospital, all the while being too nervous to open his board results. Cristina is blunt to a guitarist whose fingers need replantation, while lying to Burke about moving in, as Meredith has a euphoric patient she thinks is lying. Bailey's pregnancy is now far enough to cause more problems than fun for her."
Season 2,24,15,"""Break on Through""",https://greysanatomy.fandom.com/wiki/Break_on_Through,"January 29, 2006",18.44,"The nurses's strike causes chaos in the hospital, as Meredith accidentally intubated a DNR patient, and then must let her die; Izzie treats a young pregnant patient with much more in common than the patient realizes. George joins the picket line, while the rest of the interns meet their new resident, the anti-Nazi, which Cristina immediately clashes with over her choice of medical care."
Season 2,25,16,"""It's the End of the World""",https://greysanatomy.fandom.com/wiki/It%27s_the_End_of_the_World,"February 5, 2006",37.88,"Meredith has an overwhelming feeling she's going to die today - until Cristina forcibly kicks her out of bed. Bailey returns to deliver her baby as her husband ends up on Derek's operating table. Meredith's feelings prove true, as a bomb in a body cavity enters the ER."
Season 2,26,17,"""As We Know It""",https://greysanatomy.fandom.com/wiki/As_We_Know_It,"February 12, 2006",25.42,"Danger looms at Seattle Grace as the Code Black is in full effect. Derek refuses to vacate the OR as Tucker's head is still open on the table, endangering both their lives; Bailey refuses to push as she endangers her life and her baby's life and Meredith still has her hand in the body, with Cristina refusing to leave her. Away from the bombs, the stress gets to Richard, causing him to have a suspected heart attack."
Season 2,27,18,"""Yesterday""",https://greysanatomy.fandom.com/wiki/Yesterday,"February 19, 2006",24.36,"An unwanted figure appears at Seattle Grace, as Mark Sloan tries to do surgery on a boy with facial tumors, which Derek deems too risky. Izzie deals with a patient with spontaneous orgasms, while Meredith visits her father."
Season 2,28,19,"""What Have I Done to Deserve This?""",https://greysanatomy.fandom.com/wiki/What_Have_I_Done_to_Deserve_This%3F,"February 26, 2006",24.76,"The morning after the night before and the repercussions of George and Meredith unravel, while another doctor has eyes for George. Although on maternity leave, Bailey still works when Addison asks her for apersonalconsult."
Season 2,29,20,"""Band-Aid Covers the Bullet Hole""",https://greysanatomy.fandom.com/wiki/Band-Aid_Covers_the_Bullet_Hole,"March 12, 2006",22.51,"Cristina is left holding Bailey's baby when she is unable to get anyone else to get anyone to watch him, while Meredith confides in Derek, while Derek performs a risky surgery for a supposed inoperable aneurysm. A patient's husband gives Addison attention and George and Callie give each other their full attention while treating a stubborn hockey player."
Season 2,30,21,"""Superstition""",https://greysanatomy.fandom.com/wiki/Superstition,"March 19, 2006",21.13,"Surgical fatalities occurs in threes and sevens, at least that's the rumor on the surgical floor. With four fatalities in the morning alone, superstition rules the roost at Seattle Grace, so Addison jujus Meredith for good luck. Burke has George retrieve a scrub cap Cristina is holding hostage, Meredith and Bailey try to convince a friendly stalker to operate and Cristina is annoyed endlessly by her OCD patient while Richard's past arrives in Seattle Grace."
Season 2,31,22,"""The Name of the Game""",https://greysanatomy.fandom.com/wiki/The_Name_of_the_Game,"April 2, 2006",22.35,"In light of recent events, Bailey is being mommy-tracked, so she becomes Derek's intern to get some OR time. George discovers many secrets during the day, not least that Meredith has a sister, one of Addison's patients, and Callie is living in the hospital. Meredith begins knitting with Izzie, while the Chief and Cristina battle it out during a skills class."
Season 2,32,23,"""Blues for Sister Someone""",https://greysanatomy.fandom.com/wiki/Blues_for_Sister_Someone,"April 30, 2006",20.76,"Burke has to operate on his idol, Eugene Foote, causing him to conflict his views between potentially killing his idol or risk letting Foote find somebody else. Bailey continues to be mommy-tracked, while Alex has to deal with a strict Catholic family where the mother wants a tubal ligation without her husband knowing. Meanwhile, a divorce attorney is reading Derek like a book about his marriage as Izzie grills George about his living arrangements."
Season 2,33,24,"""Damage Case""",https://greysanatomy.fandom.com/wiki/Damage_Case,"May 7, 2006",21.99,"Anger is in the air, as Derek is angry at Meredith for seeing McVet, Burke is angry at Cristina for falling asleep before he finished, Alex is still angry at She-Shepherd pulling him off surgery, Callie is angry at George for not defending her and the patients of a car crash are angry at the doctor responsible for the crash."
Season 2,34,25,"""17 Seconds""",https://greysanatomy.fandom.com/wiki/17_Seconds,"May 14, 2006",22.6,"Derek ignores Meredith, Addison gets suspicious, Meredith worries about Doc, everyone gets busy treating gunshot wounds, Burke fights to get Denny a new heart and Izzie goes to drastic measures to make sure he gets it."
Season 2,35,26,"""Deterioration of the Fight or Flight Response""",https://greysanatomy.fandom.com/wiki/Deterioration_of_the_Fight_or_Flight_Response,"May 15, 2006",22.5,"Cristina gets assigned to a trauma all by herself. Izzie and George wait for Burke to arrive and help Denny get the heart, but they do not realize that Burke has been shot and has to undergo surgery. Meanwhile, the Chief's nieceCamillehas been admitted to the hospital."
Season 2,36,27,"""Losing My Religion""",https://greysanatomy.fandom.com/wiki/Losing_My_Religion,"May 15, 2006",22.5,"The interns are pulled into the Chief's Office, where he demands to know who cut the LVAD as Denny recovers from a successful transplant. Unfortunately for Richard, the interns have their own pressing issues, so he punishes them by having them organize a prom for his niece. Everyone has a choice, Meredith between two men, Izzie to tell the truth, and Derek and Meredith to choose to put Doc down."
Season 3,37,1,"""Time Has Come Today""",https://greysanatomy.fandom.com/wiki/Time_Has_Come_Today,"September 21, 2006",25.41,"Addison and Alex treat an abandoned baby, George and Derek are sealed off from the rest of the hospital (possibly with plague), Izzie mourns for Denny, Meredith tries to choose between Derek and Finn, Callie and Cristina try to help Izzie, Bailey helps a distressed patient and many of the doctors have flashbacks from their past."
Season 3,38,2,"""I Am a Tree""",https://greysanatomy.fandom.com/wiki/I_Am_a_Tree,"September 28, 2006",23.48,"The staff deal with a boy, who literally has become a tree; a patient who vocalizes all his thoughts aloud, no matter how rude; and a lung cancer patient, who ends up having sex with Alex in Joe's restrooms. Meanwhile, the Nazi is back with a vengeance from recent events, Burke's mother catches Cristina offering a newhospitalservice, Callie covers for Meredith, Izzie starts baking out of grief and Derek and Addison find their marriage is over."
Season 3,39,3,"""Sometimes a Fantasy""",https://greysanatomy.fandom.com/wiki/Sometimes_a_Fantasy,"October 5, 2006",22.8,"Meredith begins dating, so Derek and Finn compete against each other, Derek managing to win her over with delicious surgeries for her, while Finn musters home made ice cream. George annoys Callie by scaring her patient away, Mark annoys Addison by missing his flight and Cristina is annoyed by Burke becoming depressed. Alex deals with a young superhero (or CIPA patient) while Izzie tries to return to the hospital, but can't get past the front door."
Season 3,40,4,"""What I Am""",https://greysanatomy.fandom.com/wiki/What_I_Am,"October 12, 2006",22.88,"Dr. Mark Sloan joins the staff as the new head of Plastic surgery and instantly rubs up against everyone. Addison is distracted and her medical judgment compromised by Mark's arrival, and similarly, Derek is also distracted, but clears Burke for surgery. Izzie meets withDenny'sfather,who is also named Dennyand who reveals a bombshell for Izzie. Meredith's policy on dating two men is getting to her, and the interns and Bailey suspect she's pregnant. However, it turns out to be appendicitis. Meredith is put on morphine for the pain, and hilarity ensues, but not for everyone around her."
Season 3,41,5,"""Oh, the Guilt""","https://greysanatomy.fandom.com/wiki/Oh,_the_Guilt","October 19, 2006",22.05,"Derek and Addison finalize the divorce, Burke abstains from surgeries as Bailey comes under fire at the M&M. Meredith tries to decide whether to tell Derek she broke up with Finn and Callie reveals a secret to Meredith."
Season 3,42,6,"""Let the Angels Commit""",https://greysanatomy.fandom.com/wiki/Let_the_Angels_Commit,"November 2, 2006",21.02,Derek's sister Nancy comes to visit. Izzie gets used to life as a surgeon again except with restrictions. Cristina goes to more extreme measures to hide Burke's secret.
Season 3,43,7,"""Where the Boys Are""",https://greysanatomy.fandom.com/wiki/Where_the_Boys_Are,"November 9, 2006",20.65,"Derek gets annoyed when all the boys go on a camping trip, instead of just Preston and himself. Back at the hospital, Addison and Callie bond over a patient while Mark continues to annoy everyone. Bailey punishes Cristina, but Cristina claims ignorance as to why. Izzie is peer-counseled by an unlikely person, and Meredith is a shocked when Sloan assigns her to a sex reassignment."
Season 3,44,8,"""Staring at the Sun""",https://greysanatomy.fandom.com/wiki/Staring_at_the_Sun,"November 16, 2006",20.92,"Meredith tries optimism, and vows to be ""bright and shiny."" Addison and Derek try ""peacefully coexisting"", and confront Dr. Webber about his depression and problems with his marriage. George continues to be skeptical about Burke's ability to operate, after seeing Cristina perform a complicated surgery and refuse the credit. George's father is admitted to the hospital. Izzie shadows Alex, who is on Sloan's service."
Season 3,45,9,"""From a Whisper to a Scream""",https://greysanatomy.fandom.com/wiki/From_a_Whisper_to_a_Scream,"November 23, 2006",18.51,"A traumatic car accident at the local market brings in multiple patients to the ER. Erica Hahn is brought in after George loses confidence in Dr. Burke, while his mother is embarrassing him in front of his peers. Cristina also has a crisis of confidence and confesses to the Chief the cover-up between her and Burke."
Season 3,46,10,"""Don't Stand So Close to Me""",https://greysanatomy.fandom.com/wiki/Don%27t_Stand_So_Close_to_Me,"November 30, 2006",24.01,"Miranda tries to make sure that Burke and Cristina are punished, but Richard feels otherwise. Meredith is spooked when her half-sister is admitted and George gets too involved in his father's case as the rest of the staff attempt to separate adult conjoined twins."
Season 3,47,11,"""Six Days, Part 1""","https://greysanatomy.fandom.com/wiki/Six_Days,_Part_1","January 11, 2007",23.03,"The staff all have anxiety today, Izzie refuses to deposit the $8.7 million check, making everyone anxious, especially George as his father's surgery is soon. Meredith is also anxious around her father and his other family. Callie wants Derek to consult on an angry VATER patient but is unsure how to ask him. Cristina and Burke are not talking, while Mark won't allow Addison to talk down to him."
Season 3,48,12,"""Six Days, Part 2""","https://greysanatomy.fandom.com/wiki/Six_Days,_Part_2","January 18, 2007",21.94,"The O'Malleys await for a response from the surgery, Addison and Alex feel awkward after their almost moment and Cristina and Burke still are not talking, while Meredith's snoring is still annoying Derek."
Season 3,49,13,"""Great Expectations""",https://greysanatomy.fandom.com/wiki/Great_Expectations,"January 25, 2007",21.5,"George's grief begins to prove too much for Callie and even Izzie, who starts baking, but only a little. Cristina and Burke's continued silence proves for aninterestingdinner party with Derek and Meredith and the Chief makes an announcement that sends the attendings running for answers; meanwhile, Bailey wants to start her own project, and uses the attendings current state in her favor. Two staff members at the hospital get proposals."
Season 3,50,14,"""Wishin' and Hopin'""",https://greysanatomy.fandom.com/wiki/Wishin%27_and_Hopin%27,"February 1, 2007",24.18,"The attendings are still fighting for the Chief's nomination from the board, while Ellis Grey has awoken lucid. George and Callie have an announcement, while Izzie worries about the newly opened Denny Duquette Memorial Clinic, while a cancer patient poses a hazard for all hospital staff."
Season 3,51,15,"""Walk on Water""",https://greysanatomy.fandom.com/wiki/Walk_on_Water,"February 8, 2007",25.2,"A catastrophic mass casualty incident has the interns (sans Cristina) sent into the field with Bailey to do damage control. Back at the hospital, the Chief has dyed his hair and Addison is the only person who defends him. Cristina wants to tell Meredith about her engagement, and wants Meredith to hear it from her first - not easy when word begins to spread among the attendings."
Season 3,52,16,"""Drowning on Dry Land""",https://greysanatomy.fandom.com/wiki/Drowning_on_Dry_Land,"February 15, 2007",25.76,"The mass casualty incident continues to swamp Seattle Grace. Alex cares for Jane Doe while trying to find her husband, as well as please the hopeful, yet angry crowd in the clinic trying to get information. George crosses a professional line, and begins to regret it. Izzie tries her hand at a burr hole, not an easy feat for her as she doesn't have surgical equipment, nor much recent hands-on OR time, and Derek is sent into the field to manage some of the trauma, specifically neuro, coming in, but finds something else."
Season 3,53,17,"""Some Kind of Miracle""",https://greysanatomy.fandom.com/wiki/Some_Kind_of_Miracle,"February 22, 2007",27.39,"Meredith fights to stay alive, as Derek fights to hold himself together. Cristina is unable to handle the reality of the situation and leaves."
Season 3,54,18,"""Scars and Souvenirs""",https://greysanatomy.fandom.com/wiki/Scars_and_Souvenirs,"March 15, 2007",22.68,"Izzie objects to Alex taking George's room, while Cristina objects to an old flame and old professor turning up as the new candidate for chief of surgery. Meredith hides when her father and his wife turn at the hospital. Izzie treats an old Korean War veteran who was shot, he claims friendly fire and wants the bullet to prove it was. Derek and George treat an old friend of Derek's from New York, but Derek showboats when he has a guest in surgery."
Season 3,55,19,"""My Favorite Mistake""",https://greysanatomy.fandom.com/wiki/My_Favorite_Mistake,"March 22, 2007",22.3,"Izzie seems to be the only one with a memory of her and George in the previous night, Derek gets over-protective when Meredith gets a surgery, and one of Callie's relatives comes to town."
Season 3,56,20,"""Time After Time""",https://greysanatomy.fandom.com/wiki/Time_After_Time,"April 19, 2007",21.12,Meredith deals with an overbearing step-mother. Cristina finds herself caught between Burke and Marlow. Derek fights for the job of Chief. Alex continues the search for Jane Doe's identity. And Izzie's past comes looking for her.
Season 3,57,21,"""Desire""",https://greysanatomy.fandom.com/wiki/Desire,"April 26, 2007",20.08,"The Chairman of Seattle Grace's board of directors is admitted and all the attendings vie for his favor, Izzie and George keep getting confronted by the results of infidelity, and Preston presses Cristina for a decision."
Season 3,58,22,"""The Other Side of This Life, Part 1""","https://greysanatomy.fandom.com/wiki/The_Other_Side_of_This_Life,_Part_1","May 3, 2007",21.23,"Addison leaves for warmer climes and to figure things out, Susan visits the clinic, and Cristina's perfect wedding is changed when her and Burke's mothers hit town."
Season 3,59,23,"""The Other Side of This Life, Part 2""","https://greysanatomy.fandom.com/wiki/The_Other_Side_of_This_Life,_Part_2","May 3, 2007",21.23,"Addison is pulled into the case of a high-risk surrogate mother, Susan develops a complication, Izzie struggles with George's decision, and Ava has surgery that may restore her memory."
Season 3,60,24,"""Testing 1-2-3""",https://greysanatomy.fandom.com/wiki/Testing_1-2-3,"May 10, 2007",19.58,"The interns take the biggest test of their careers, their first-year medical exams, as the residents attend to three injured mountain climbers. Meanwhile, Callie's suspicions of George and Izzie grow, and Cristina struggles to write her wedding vows."
Season 3,61,25,"""Didn't We Almost Have It All?""",https://greysanatomy.fandom.com/wiki/Didn%27t_We_Almost_Have_It_All%3F,"May 17, 2007",25.57,"The wedding day arrives, and Cristina desperately needs something to take her mind off it, the fourth climber is found and his condition doesn't match the other climbers' stories, and Adele's condition brings a change for Richard."
Season 4,62,1,"""A Change is Gonna Come""",https://greysanatomy.fandom.com/wiki/A_Change_is_Gonna_Come,"September 27, 2007",20.93,"Meredith, Cristina, Izzie, and Alex get their own interns while George repeats his internship along with Lexie Grey, Meredith's half-sister. Izzie saves a deer. Bailey struggles as the number 2 girl, jealous of Callie for being chief resident."
Season 4,63,2,"""Love/Addiction""",https://greysanatomy.fandom.com/wiki/Love/Addiction,"October 4, 2007",18.51,"Lexie tries to befriend an unwilling Meredith and while Bailey is looking for a way to show off her skills, Callie struggles with her Chief Resident Duties. Mama Burke returns to collecther son'sbelongings, while Cristina trades the wedding presents for surgeries and favors. Alex investigates a case involving the victims of a massive explosion."
Season 4,64,3,"""Let the Truth Sting""",https://greysanatomy.fandom.com/wiki/Let_the_Truth_Sting,"October 11, 2007",19.04,"Callie hides in her office, frustrating Bailey who's itching to teach someone. Elsewhere, age becomes the theme as Izzie tries to convince 'Really Old Guy' he shouldn't die, Webber and Sloan set out to prove they're not too old to learn a new technique, and Karev is saddled with an intern who's past his prime."
Season 4,65,4,"""The Heart of the Matter""",https://greysanatomy.fandom.com/wiki/The_Heart_of_the_Matter,"October 18, 2007",18.04,"Meredith and her intern lose a patient after they give her the wrong diagnosis, Callie confronts Izzie, and McDreamy bonds with the other Grey."
Season 4,66,5,"""Haunt You Every Day""",https://greysanatomy.fandom.com/wiki/Haunt_You_Every_Day,"October 25, 2007",18.17,"Meredith feels she's being haunted by her Mother's ashes, and Cristina is denied a surgery for a surprising reason."
Season 4,67,6,"""Kung Fu Fighting""",https://greysanatomy.fandom.com/wiki/Kung_Fu_Fighting,"November 1, 2007",19.31,"A man survives a parachute accident without serious injury, two women refuse treatment because of a wedding contest, and Cristina and Izzie jockey for inclusion in Hahn's surgeries."
Season 4,68,7,"""Physical Attraction... Chemical Reaction""",https://greysanatomy.fandom.com/wiki/Physical_Attraction..._Chemical_Reaction,"November 8, 2007",19.5,"Hahn bans Cristina from her service, Bailey covers more and more of Torres' duties, and Izzie and George go to extreme lengths to recapture the magic of their first encounter."
Season 4,69,8,"""Forever Young""",https://greysanatomy.fandom.com/wiki/Forever_Young,"November 15, 2007",19.61,"Bailey crosses the line when the guy she had a crush on in high school shows up in the ER during an onslaught of high school students involved in a bus crash. Problems arise between Meredith and Lexie when their father shows up drunk, while Derek tries to get back into the dating scene with another doctor and Cristina tries her best to get back into Hahn's good graces."
Season 4,70,9,"""Crash Into Me, Part 1""","https://greysanatomy.fandom.com/wiki/Crash_Into_Me,_Part_1","November 22, 2007",14.11,"An accident involving two ambulances causes chaos at Seattle Grace. Cristina and Izzie compete for cardio, Richard and Meredith treat two paramedics stuck in an ambulance, Derek and George help a paramedic with seizures, Rebecca ""Ava"" Pope returns and sneaks into a surgery and Lexie finds herself in a sticky situation with a patient."
Season 4,71,10,"""Crash Into Me, Part 2""","https://greysanatomy.fandom.com/wiki/Crash_Into_Me,_Part_2","December 6, 2007",17.78,"Tragedy abounds for everyone at Seattle Grace as they all continue in efforts to get the paramedic out of the overturned ambulance, stop the bleeding of a man who won't quit, and a bigot with a Nazi tattoo on his stomach. On the personal side, Rebecca returns to spend time with Alex, Miranda's husband finds it harder to wait for her while she's in surgery, and Cristina still tries to get on Hahn's good side, even though Bailey has put her elsewhere."
Season 4,72,11,"""Lay Your Hands on Me""",https://greysanatomy.fandom.com/wiki/Lay_Your_Hands_on_Me,"January 10, 2008",17.68,"Izzie stops pursuing cardio, George's mother visits causing awkwardness with Callie, Izzie, and especially George! Bailey's world is turned upside down when her personal and professional lives collide. Meredith hears about Rose and Derek's kiss. Erica assigns Alex to a patient that claims to heal people."
Season 4,73,12,"""Where the Wild Things Are""",https://greysanatomy.fandom.com/wiki/Where_the_Wild_Things_Are,"April 24, 2008",16.37,"Bailey starts up a surgical competition, Lexie begins to steal things, Mark tries to break Derek and Rose up, Izzie goes too far when treating a patient and the other residents help out after a bear attack."
Season 4,74,13,"""Piece of My Heart""",https://greysanatomy.fandom.com/wiki/Piece_of_My_Heart,"May 1, 2008",15.31,Addison returns to Seattle Grace for a surgery and discovers a lot has changed since she departed for her new life in L.A. Derek and Meredith's clinical trial has an uneasy start and Callie becomes defensive when Addison suggests there may be more than friendship between her and Erica.
Season 4,75,14,"""The Becoming""",https://greysanatomy.fandom.com/wiki/The_Becoming,"May 8, 2008",16.03,"Preston Burke receives the Harper Avery, a prestigious award, which causes Cristina to put to rest her old feelings. Meredith continues with therapy as she tries to get over Derek, with whom she is a partner in a clinical trial, and who is dating Nurse Rose. The nurse's union files a formal complaint against the actions of Mark Sloan, causing the hospital employees to document their sexual histories. Alex tries to reconcile himself to the fact that he might be a father. Callie and Mark have sex multiple times."
Season 4,76,15,"""Losing My Mind""",https://greysanatomy.fandom.com/wiki/Losing_My_Mind,"May 15, 2008",15.55,"The Chief's mentor comes to town for more than just a visit, at Erica's excitement and eventually her dismay as she may threaten her career. Meredith tries to quit therapy, Cristina is acting out of character after learning about Burke's achievement and George becomes the Chief's intern. Mark and Izzie suspect something is wrong with Rebecca, and Izzie confronts her, leading to Rebecca breaking down."
Season 4,77,16,"""Freedom, Part 1""","https://greysanatomy.fandom.com/wiki/Freedom,_Part_1","May 22, 2008",18.09,"A surgical team battles the clock as they try to save a boy encased in cement, Alex's situation with an ever-disintegrating Ava brings back painful memories that interfere with his judgment, Derek and Meredith have one last chance at their clinical trial."
Season 4,78,17,"""Freedom, Part 2""","https://greysanatomy.fandom.com/wiki/Freedom,_Part_2","May 22, 2008",18.09,"Derek and Meredith's clinical trial is a success as their very last patient pulls through, despite some rule bending to do so. Bailey hands the clinic over to Izzie, feeling she has too much on her plate, Cristina gets her mojo back in the form of the sparkle pager and Lexie makes a shocking discovery about George. Alex deals with Rebecca trying to kill herself, bringing up poignant memories for Meredith. Callie kisses Erica, the Chief returns to Adele and Derek and Meredith decide to get back together."
