Season,No. in series,No. in season,Title_Text,Title_Link,Original air date,U.S. viewers (millions)
Season 5,79,1.0,"""Dream a Little Dream of Me, Part 1""","https://greysanatomy.fandom.com/wiki/Dream_a_Little_Dream_of_Me,_Part_1","September 25, 2008",18.29[79]
,,,,,,
Season 5,81,3.0,"""Here Comes the Flood""",https://greysanatomy.fandom.com/wiki/Here_Comes_the_Flood,"October 9, 2008",14.54[81]
Season 5,82,4.0,"""Brave New World""",https://greysanatomy.fandom.com/wiki/Brave_New_World,"October 16, 2008",14.57[82]
Season 5,83,5.0,"""There's No 'I' in Team""",https://greysanatomy.fandom.com/wiki/There%27s_No_%27I%27_in_Team,"October 23, 2008",14.21[83]
,,,,,,
Season 5,85,7.0,"""Rise Up""",https://greysanatomy.fandom.com/wiki/Rise_Up,"November 6, 2008",15.63[85]
Season 5,86,8.0,"""These Ties That Bind""",https://greysanatomy.fandom.com/wiki/These_Ties_That_Bind,"November 13, 2008",15.59[86]
Season 5,87,9.0,"""In the Midnight Hour""",https://greysanatomy.fandom.com/wiki/In_the_Midnight_Hour,"November 20, 2008",15.74[87]
,,,,,,
Season 5,89,11.0,"""Wish You Were Here""",https://greysanatomy.fandom.com/wiki/Wish_You_Were_Here,"January 8, 2009",13.71[89]
Season 5,90,12.0,"""Sympathy for the Devil""",https://greysanatomy.fandom.com/wiki/Sympathy_for_the_Devil,"January 15, 2009",12.95[90]
Season 5,91,13.0,"""Stairway to Heaven""",https://greysanatomy.fandom.com/wiki/Stairway_to_Heaven,"January 22, 2009",14.25[91]
Season 5,92,14.0,"""Beat Your Heart Out""",https://greysanatomy.fandom.com/wiki/Beat_Your_Heart_Out,"February 5, 2009",15.20[92]
,,,,,,
Season 5,94,16.0,"""An Honest Mistake""",https://greysanatomy.fandom.com/wiki/An_Honest_Mistake,"February 19, 2009",15.39[94]
,,,,,,
Season 5,96,18.0,"""Stand By Me""",https://greysanatomy.fandom.com/wiki/Stand_By_Me,"March 19, 2009",14.67[96]
,,,,,,
Season 5,98,20.0,"""Sweet Surrender""",https://greysanatomy.fandom.com/wiki/Sweet_Surrender,"April 23, 2009",13.55[98]
Season 5,99,21.0,"""No Good at Saying Sorry (One More Chance)""",https://greysanatomy.fandom.com/wiki/No_Good_at_Saying_Sorry_(One_More_Chance),"April 30, 2009",14.12[99]
Season 5,100,22.0,"""What a Difference a Day Makes""",https://greysanatomy.fandom.com/wiki/What_a_Difference_a_Day_Makes,"May 7, 2009",15.33[100]
Season 5,101,23.0,"""Here's to Future Days""",https://greysanatomy.fandom.com/wiki/Here%27s_to_Future_Days,"May 14, 2009",15.58[101]
Season 5,102,24.0,"""Now or Never""",https://greysanatomy.fandom.com/wiki/Now_or_Never,"May 14, 2009",17.12[102]
Season 6,103,1.0,"""Good Mourning""",https://greysanatomy.fandom.com/wiki/Good_Mourning,"September 24, 2009",17.03[103]
,,,,,,
Season 6,105,3.0,"""I Always Feel Like Somebody's Watchin' Me""",https://greysanatomy.fandom.com/wiki/I_Always_Feel_Like_Somebody%27s_Watchin%27_Me,"October 1, 2009",15.69[105]
Season 6,106,4.0,"""Tainted Obligation""",https://greysanatomy.fandom.com/wiki/Tainted_Obligation,"October 8, 2009",14.13[106]
,,,,,,
,,,,,,
,,,,,,
Season 6,110,8.0,"""Invest in Love""",https://greysanatomy.fandom.com/wiki/Invest_in_Love,"November 5, 2009",13.95[110]
Season 6,111,9.0,"""New History""",https://greysanatomy.fandom.com/wiki/New_History,"November 12, 2009",14.87[111]
Season 6,112,10.0,"""Holidaze""",https://greysanatomy.fandom.com/wiki/Holidaze,"November 19, 2009",14.07[112]
Season 6,113,11.0,"""Blink""",https://greysanatomy.fandom.com/wiki/Blink,"January 14, 2010",12.78[113]
Season 6,114,12.0,"""I Like You So Much Better When You're Naked""",https://greysanatomy.fandom.com/wiki/I_Like_You_So_Much_Better_When_You%27re_Naked,"January 21, 2010",12.70[114]
,,,,,,
Season 6,116,14.0,"""Valentine's Day Massacre""",https://greysanatomy.fandom.com/wiki/Valentine%27s_Day_Massacre,"February 11, 2010",12.74[116]
Season 6,117,15.0,"""The Time Warp""",https://greysanatomy.fandom.com/wiki/The_Time_Warp,"February 18, 2010",10.27[117]
Season 6,118,16.0,"""Perfect Little Accident""",https://greysanatomy.fandom.com/wiki/Perfect_Little_Accident,"March 4, 2010",11.83[118]
Season 6,119,17.0,"""Push""",https://greysanatomy.fandom.com/wiki/Push,"March 11, 2010",10.94[119]
,,,,,,
,,,,,,
Season 6,122,20.0,"""Hook, Line and Sinner""","https://greysanatomy.fandom.com/wiki/Hook,_Line_and_Sinner","April 29, 2010",10.47[122]
Season 6,123,21.0,"""How Insensitive""",https://greysanatomy.fandom.com/wiki/How_Insensitive,"May 6, 2010",11.03[123]
Season 6,124,22.0,"""Shiny Happy People""",https://greysanatomy.fandom.com/wiki/Shiny_Happy_People,"May 13, 2010",11.05[124]
Season 6,125,23.0,"""Sanctuary""",https://greysanatomy.fandom.com/wiki/Sanctuary,"May 20, 2010",13.93[125]
,,,,,,
Season 7,127,1.0,"""With You I'm Born Again""",https://greysanatomy.fandom.com/wiki/With_You_I%27m_Born_Again,"September 23, 2010",14.32[127]
Season 7,128,2.0,"""Shock to the System""",https://greysanatomy.fandom.com/wiki/Shock_to_the_System,"September 30, 2010",12.53[128]
Season 7,129,3.0,"""Superfreak""",https://greysanatomy.fandom.com/wiki/Superfreak,"October 7, 2010",12.75[129]
Season 7,130,4.0,"""Can't Fight Biology""",https://greysanatomy.fandom.com/wiki/Can%27t_Fight_Biology,"October 14, 2010",12.11[130]
Season 7,131,5.0,"""Almost Grown""",https://greysanatomy.fandom.com/wiki/Almost_Grown,"October 21, 2010",10.97[131]
Season 7,132,6.0,"""These Arms of Mine""",https://greysanatomy.fandom.com/wiki/These_Arms_of_Mine,"October 28, 2010",10.79[132]
Season 7,133,7.0,"""That's Me Trying""",https://greysanatomy.fandom.com/wiki/That%27s_Me_Trying,"November 4, 2010",11.92[133]
Season 7,134,8.0,"""Something's Gotta Give""",https://greysanatomy.fandom.com/wiki/Something%27s_Gotta_Give,"November 11, 2010",11.13[134]
Season 7,135,9.0,"""Slow Night, So Long""","https://greysanatomy.fandom.com/wiki/Slow_Night,_So_Long","November 18, 2010",11.46[135]
Season 7,136,10.0,"""Adrift and at Peace""",https://greysanatomy.fandom.com/wiki/Adrift_and_at_Peace,"December 2, 2010",11.02[136]
Season 7,137,11.0,"""Disarm""",https://greysanatomy.fandom.com/wiki/Disarm,"January 6, 2011",11.64[137]
,,,,,,
Season 7,139,13.0,"""Don't Deceive Me (Please Don't Go)""",https://greysanatomy.fandom.com/wiki/Don%27t_Deceive_Me_(Please_Don%27t_Go),"February 3, 2011",11.18[139]
Season 7,140,14.0,"""P.Y.T. (Pretty Young Thing)""",https://greysanatomy.fandom.com/wiki/P.Y.T._(Pretty_Young_Thing),"February 10, 2011",10.47[140]
Season 7,141,15.0,"""Golden Hour""",https://greysanatomy.fandom.com/wiki/Golden_Hour,"February 17, 2011",10.24[141]
Season 7,142,16.0,"""Not Responsible""",https://greysanatomy.fandom.com/wiki/Not_Responsible,"February 24, 2011",9.13[142]
,,,,,,
,,,,,,
Season 7,145,19.0,"""It's a Long Way Back""",https://greysanatomy.fandom.com/wiki/It%27s_a_Long_Way_Back,"April 28, 2011",10.67[145]
Season 7,146,20.0,"""White Wedding""",https://greysanatomy.fandom.com/wiki/White_Wedding,"May 5, 2011",10.11[146]
Season 7,147,21.0,"""I Will Survive""",https://greysanatomy.fandom.com/wiki/I_Will_Survive,"May 12, 2011",9.63[147]
,,,,,,
,,,,,,
Season 8,150,2.0,"""She's Gone""",https://greysanatomy.fandom.com/wiki/She%27s_Gone,"September 22, 2011",10.38[150]
Season 8,151,3.0,"""Take the Lead""",https://greysanatomy.fandom.com/wiki/Take_the_Lead,"September 29, 2011",10.20[151]
Season 8,152,4.0,"""What is It About Men""",https://greysanatomy.fandom.com/wiki/What_is_It_About_Men,"October 6, 2011",8.70[152]
Season 8,153,5.0,"""Love, Loss and Legacy""","https://greysanatomy.fandom.com/wiki/Love,_Loss_and_Legacy","October 13, 2011",9.97[153]
Season 8,154,6.0,"""Poker Face""",https://greysanatomy.fandom.com/wiki/Poker_Face,"October 20, 2011",9.54[154]
,,,,,,
Season 8,156,8.0,"""Heart-Shaped Box""",https://greysanatomy.fandom.com/wiki/Heart-Shaped_Box,"November 3, 2011",9.52[156]
,,,,,,
Season 8,158,10.0,"""Suddenly""",https://greysanatomy.fandom.com/wiki/Suddenly,"January 5, 2012",12.12[158]
,,,,,,
,,,,,,
Season 8,161,13.0,"""If/Then""",https://greysanatomy.fandom.com/wiki/If/Then,"February 2, 2012",9.71[161]
,,,,,,
Season 8,163,15.0,"""Have You Seen Me Lately?""",https://greysanatomy.fandom.com/wiki/Have_You_Seen_Me_Lately%3F,"February 16, 2012",8.31[163]
Season 8,164,16.0,"""If Only You Were Lonely""",https://greysanatomy.fandom.com/wiki/If_Only_You_Were_Lonely,"February 23, 2012",9.06[164]
Season 8,165,17.0,"""One Step Too Far""",https://greysanatomy.fandom.com/wiki/One_Step_Too_Far,"March 15, 2012",9.62[165]
Season 8,166,18.0,"""The Lion Sleeps Tonight""",https://greysanatomy.fandom.com/wiki/The_Lion_Sleeps_Tonight,"April 5, 2012",8.19[166]
Season 8,167,19.0,"""Support System""",https://greysanatomy.fandom.com/wiki/Support_System,"April 12, 2012",8.85[167]
Season 8,168,20.0,"""The Girl with No Name""",https://greysanatomy.fandom.com/wiki/The_Girl_with_No_Name,"April 19, 2012",9.82[168]
Season 8,169,21.0,"""Moment of Truth""",https://greysanatomy.fandom.com/wiki/Moment_of_Truth,"April 26, 2012",9.45[169]
Season 8,170,22.0,"""Let the Bad Times Roll""",https://greysanatomy.fandom.com/wiki/Let_the_Bad_Times_Roll,"May 3, 2012",9.24[170]
,,,,,,
Season 8,172,24.0,"""Flight""",https://greysanatomy.fandom.com/wiki/Flight,"May 17, 2012",11.44[172]
Season 9,173,1.0,"""Going, Going, Gone""","https://greysanatomy.fandom.com/wiki/Going,_Going,_Gone","September 27, 2012",11.37[173]
Season 9,174,2.0,"""Remember the Time""",https://greysanatomy.fandom.com/wiki/Remember_the_Time,"October 4, 2012",10.84[174]
,,,,,,
,,,,,,
Season 9,177,5.0,"""Beautiful Doom""",https://greysanatomy.fandom.com/wiki/Beautiful_Doom,"November 8, 2012",9.26[177]
Season 9,178,6.0,"""Second Opinion""",https://greysanatomy.fandom.com/wiki/Second_Opinion,"November 15, 2012",8.84[178]
,,,,,,
Season 9,180,8.0,"""Love Turns You Upside Down""",https://greysanatomy.fandom.com/wiki/Love_Turns_You_Upside_Down,"December 6, 2012",9.10[180]
Season 9,181,9.0,"""Run, Baby, Run""","https://greysanatomy.fandom.com/wiki/Run,_Baby,_Run","December 13, 2012",8.17[181]
Season 9,182,10.0,"""Things We Said Today""",https://greysanatomy.fandom.com/wiki/Things_We_Said_Today,"January 10, 2013",9.34[182]
Season 9,183,11.0,"""The End is the Beginning is the End""",https://greysanatomy.fandom.com/wiki/The_End_is_the_Beginning_is_the_End,"January 17, 2013",8.80[183]
Season 9,184,12.0,"""Walking on a Dream""",https://greysanatomy.fandom.com/wiki/Walking_on_a_Dream,"January 24, 2013",9.01[184]
,,,,,,
Season 9,186,14.0,"""The Face of Change""",https://greysanatomy.fandom.com/wiki/The_Face_of_Change,"February 7, 2013",8.91[186]
,,,,,,
Season 9,188,16.0,"""This is Why We Fight""",https://greysanatomy.fandom.com/wiki/This_is_Why_We_Fight,"February 21, 2013",8.75[188]
Season 9,189,17.0,"""Transplant Wasteland""",https://greysanatomy.fandom.com/wiki/Transplant_Wasteland,"March 14, 2013",8.20[189]
Season 9,190,18.0,"""Idle Hands""",https://greysanatomy.fandom.com/wiki/Idle_Hands,"March 21, 2013",9.39[190]
Season 9,191,19.0,"""Can't Fight This Feeling""",https://greysanatomy.fandom.com/wiki/Can%27t_Fight_This_Feeling,"March 28, 2013",9.02[191]
Season 9,192,20.0,"""She's Killing Me""",https://greysanatomy.fandom.com/wiki/She%27s_Killing_Me,"April 4, 2013",8.58[192]
,,,,,,
,,,,,,
Season 9,195,23.0,"""Readiness is All""",https://greysanatomy.fandom.com/wiki/Readiness_is_All,"May 9, 2013",8.97[195]
,,,,,,
,,,,,,
Season 10,198,2.0,"""I Want You With Me""",https://greysanatomy.fandom.com/wiki/I_Want_You_With_Me,"September 26, 2013",9.27[198]
Season 10,199,3.0,"""Everybody's Crying Mercy""",https://greysanatomy.fandom.com/wiki/Everybody%27s_Crying_Mercy,"October 3, 2013",9.60[199]
,,,,,,
,,,,,,
,,,,,,
Season 10,203,7.0,"""Thriller""",https://greysanatomy.fandom.com/wiki/Thriller,"October 31, 2013",8.94[203]
,,,,,,
Season 10,205,9.0,"""Sorry Seems to Be the Hardest Word""",https://greysanatomy.fandom.com/wiki/Sorry_Seems_to_Be_the_Hardest_Word,"November 14, 2013",8.56[205]
,,,,,,
Season 10,207,11.0,"""Man on the Moon""",https://greysanatomy.fandom.com/wiki/Man_on_the_Moon,"December 5, 2013",7.02[207]
Season 10,208,12.0,"""Get Up, Stand Up""","https://greysanatomy.fandom.com/wiki/Get_Up,_Stand_Up_(Grey%27s_Anatomy)","December 12, 2013",8.36[208]
,,,,,,
Season 10,210,14.0,"""You've Got to Hide Your Love Away""",https://greysanatomy.fandom.com/wiki/You%27ve_Got_to_Hide_Your_Love_Away,"March 6, 2014",8.21[210]
,,,,,,
Season 10,212,16.0,"""We Gotta Get Out of This Place""",https://greysanatomy.fandom.com/wiki/We_Gotta_Get_Out_of_This_Place,"March 20, 2014",8.09[212]
Season 10,213,17.0,"""Do You Know?""",https://greysanatomy.fandom.com/wiki/Do_You_Know%3F,"March 27, 2014",8.42[213]
Season 10,214,18.0,"""You Be Illin'""",https://greysanatomy.fandom.com/wiki/You_Be_Illin%27,"April 3, 2014",8.28[214]
Season 10,215,19.0,"""I'm Winning""",https://greysanatomy.fandom.com/wiki/I%27m_Winning,"April 10, 2014",8.18[215]
,,,,,,
Season 10,217,21.0,"""Change of Heart""",https://greysanatomy.fandom.com/wiki/Change_of_Heart,"April 24, 2014",7.99[217]
,,,,,,
Season 10,219,23.0,"""Everything I Try to Do, Nothing Seems to Turn Out Right""","https://greysanatomy.fandom.com/wiki/Everything_I_Try_to_Do,_Nothing_Seems_to_Turn_Out_Right","May 8, 2014",7.95[219]
,,,,,,
,,,,,,
Season 11,222,2.0,"""Puzzle With a Piece Missing""",https://greysanatomy.fandom.com/wiki/Puzzle_With_a_Piece_Missing,"October 2, 2014",9.44[222]
,,,,,,
Season 11,224,4.0,"""Only Mama Knows""",https://greysanatomy.fandom.com/wiki/Only_Mama_Knows,"October 16, 2014",8.43[224]
,,,,,,
,,,,,,
Season 11,227,7.0,"""Could We Start Again, Please?""","https://greysanatomy.fandom.com/wiki/Could_We_Start_Again,_Please%3F","November 13, 2014",8.36[227]
,,,,,,
Season 11,229,9.0,"""Where Do We Go From Here""",https://greysanatomy.fandom.com/wiki/Where_Do_We_Go_From_Here,"January 29, 2015",8.71[229]
Season 11,230,10.0,"""The Bed's Too Big Without You""",https://greysanatomy.fandom.com/wiki/The_Bed%27s_Too_Big_Without_You,"February 5, 2015",7.98[230]
,,,,,,
Season 11,232,12.0,"""The Great Pretender""",https://greysanatomy.fandom.com/wiki/The_Great_Pretender,"February 19, 2015",8.13[232]
Season 11,233,13.0,"""Staring at the End""",https://greysanatomy.fandom.com/wiki/Staring_at_the_End,"February 26, 2015",7.56[233]
Season 11,234,14.0,"""The Distance""",https://greysanatomy.fandom.com/wiki/The_Distance,"March 5, 2015",8.09[234]
Season 11,235,15.0,"""I Feel the Earth Move""",https://greysanatomy.fandom.com/wiki/I_Feel_the_Earth_Move,"March 12, 2015",7.40[235]
,,,,,,
Season 11,237,17.0,"""With or Without You""",https://greysanatomy.fandom.com/wiki/With_or_Without_You,"March 26, 2015",8.18[237]
,,,,,,
,,,,,,
Season 11,240,20.0,"""One Flight Down""",https://greysanatomy.fandom.com/wiki/One_Flight_Down,"April 16, 2015",7.60[240]
Season 11,241,21.0,"""How to Save a Life""",https://greysanatomy.fandom.com/wiki/How_to_Save_a_Life,"April 23, 2015",9.55[241]
,,,,,,
Season 11,244,23.0,"""Time Stops""",https://greysanatomy.fandom.com/wiki/Time_Stops,"May 7, 2015",7.74[243]
Season 11,245,24.0,"""You're My Home""",https://greysanatomy.fandom.com/wiki/You%27re_My_Home,"May 14, 2015",8.33[244]
,,,,,,
Season 12,247,2.0,"""Walking Tall""",https://greysanatomy.fandom.com/wiki/Walking_Tall,"October 1, 2015",8.58[246]
Season 12,248,3.0,"""I Choose You""",https://greysanatomy.fandom.com/wiki/I_Choose_You,"October 8, 2015",8.12[247]
,,,,,,
,,,,,,
Season 12,251,6.0,"""The Me Nobody Knows""",https://greysanatomy.fandom.com/wiki/The_Me_Nobody_Knows,"November 5, 2015",8.50[250]
Season 12,252,7.0,"""Something Against You""",https://greysanatomy.fandom.com/wiki/Something_Against_You,"November 12, 2015",8.02[251]
Season 12,253,8.0,"""Things We Lost in the Fire""",https://greysanatomy.fandom.com/wiki/Things_We_Lost_in_the_Fire_(Grey%27s_Anatomy),"November 19, 2015",8.50[252]
Season 12,254,9.0,"""The Sound of Silence""",https://greysanatomy.fandom.com/wiki/The_Sound_of_Silence,"February 11, 2016",8.28[253]
,,,,,,
Season 12,256,11.0,"""Unbreak My Heart""",https://greysanatomy.fandom.com/wiki/Unbreak_My_Heart,"February 25, 2016",7.23[255]
Season 12,257,12.0,"""My Next Life""",https://greysanatomy.fandom.com/wiki/My_Next_Life,"March 3, 2016",7.67[256]
Season 12,258,13.0,"""All Eyez on Me""",https://greysanatomy.fandom.com/wiki/All_Eyez_on_Me,"March 10, 2016",7.53[257]
Season 12,259,14.0,"""Odd Man Out""",https://greysanatomy.fandom.com/wiki/Odd_Man_Out,"March 17, 2016",7.83[258]
Season 12,260,15.0,"""I Am Not Waiting Anymore""",https://greysanatomy.fandom.com/wiki/I_Am_Not_Waiting_Anymore,"March 24, 2016",7.91[259]
,,,,,,
Season 12,262,17.0,"""I Wear the Face""",https://greysanatomy.fandom.com/wiki/I_Wear_the_Face,"April 7, 2016",7.35[261]
Season 12,263,18.0,"""There's a Fine, Fine Line""","https://greysanatomy.fandom.com/wiki/There%27s_a_Fine,_Fine_Line","April 14, 2016",7.97[262]
Season 12,264,19.0,"""It's Alright, Ma (I'm Only Bleeding)""","https://greysanatomy.fandom.com/wiki/It%27s_Alright,_Ma_(I%27m_Only_Bleeding)","April 14, 2016",7.97[263]
,,,,,,
Season 12,266,21.0,"""You're Gonna Need Someone on Your Side""",https://greysanatomy.fandom.com/wiki/You%27re_Gonna_Need_Someone_on_Your_Side,"April 28, 2016",7.91[265]
Season 12,267,22.0,"""Mama Tried""",https://greysanatomy.fandom.com/wiki/Mama_Tried,"May 5, 2016",7.66[266]
Season 12,268,23.0,"""At Last""",https://greysanatomy.fandom.com/wiki/At_Last,"May 12, 2016",7.77[267]
Season 12,269,24.0,"""Family Affair""",https://greysanatomy.fandom.com/wiki/Family_Affair,"May 19, 2016",8.19[268]
,,,,,,
